__CardsToDelete,"CreditCard_Key INT NOT NULL "
CreditReportingBaseSegment,"CREDIT_REPORTING_BASE_SEGMENT_KEY INT NOT NULL ,CREDIT_REPORTING_RUN_KEY INT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,LOCATION smallint NOT NULL ,CUSTOMER_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,REPORTING_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",IS_EXPORTED BOOLEAN NOT NULL ,ROLLOVER_LOAN_KEY INT NULL ,IDENTIFICATION_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CYCLE_IDENTIFIER VARCHAR(8000) NULL COLLATE ""en-ci"",CONSUMER_ACCOUNT_NUMBER INT NOT NULL ,PORTFOLIO_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",ACCOUNT_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_OPENED DATE NOT NULL ,CREDIT_LIMIT INT NOT NULL ,ORIGINAL_LOAN_AMOUNT INT NOT NULL ,TERMS_DURATION smallint NOT NULL ,TERMS_FREQUENCY CHAR(8000) NOT NULL COLLATE ""en-ci"",SCHEDULED_PAYMENT_AMOUNT INT NOT NULL ,ACTUAL_PAYMENT_AMOUNT INT NOT NULL ,ACCOUNT_STATUS CHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_RATING CHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_HISTORY_PROFILE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SPECIAL_COMMENT VARCHAR(8000) NOT NULL COLLATE ""en-ci"",COMPLIANCE_CONDITION_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CURRENT_BALANCE INT NOT NULL ,AMOUNT_PAST_DUE INT NOT NULL ,ORIGINAL_CHARGE_OFF_AMOUNT INT NOT NULL ,DATE_OF_ACCOUNT_INFORMATION DATE NOT NULL ,DATE_FIRST_DELINQUENCY DATE NULL ,DATE_CLOSED DATE NULL ,DATE_LAST_PAYMENT DATE NULL ,INTEREST_TYPE_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",SURNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRST_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MIDDLE_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",GENERATION_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",SOCIAL_SECURITY_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_OF_BIRTH DATE NOT NULL ,TELEPHONE_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ECOA_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",CONSUMER_INFORMATION_INDICATOR VARCHAR(8000) NULL COLLATE ""en-ci"",COUNTRY_CODE CHAR(8000) NULL COLLATE ""en-ci"",ADDRESS_LINE_1 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ADDRESS_LINE_2 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CITY VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STATE CHAR(8000) NOT NULL COLLATE ""en-ci"",POSTAL_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ADDRESS_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",RESIDENCE_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingBaseSegmentHistory,"CREDIT_REPORTING_BASE_SEGMENT_KEY INT NOT NULL ,CREDIT_REPORTING_RUN_KEY INT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,LOCATION smallint NOT NULL ,CUSTOMER_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,REPORTING_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",IS_EXPORTED BOOLEAN NOT NULL ,ROLLOVER_LOAN_KEY INT NULL ,IDENTIFICATION_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CYCLE_IDENTIFIER VARCHAR(8000) NULL COLLATE ""en-ci"",CONSUMER_ACCOUNT_NUMBER INT NOT NULL ,PORTFOLIO_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",ACCOUNT_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_OPENED DATE NOT NULL ,CREDIT_LIMIT INT NOT NULL ,ORIGINAL_LOAN_AMOUNT INT NOT NULL ,TERMS_DURATION smallint NOT NULL ,TERMS_FREQUENCY CHAR(8000) NOT NULL COLLATE ""en-ci"",SCHEDULED_PAYMENT_AMOUNT INT NOT NULL ,ACTUAL_PAYMENT_AMOUNT INT NOT NULL ,ACCOUNT_STATUS CHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_RATING CHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_HISTORY_PROFILE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SPECIAL_COMMENT VARCHAR(8000) NOT NULL COLLATE ""en-ci"",COMPLIANCE_CONDITION_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CURRENT_BALANCE INT NOT NULL ,AMOUNT_PAST_DUE INT NOT NULL ,ORIGINAL_CHARGE_OFF_AMOUNT INT NOT NULL ,DATE_OF_ACCOUNT_INFORMATION DATE NOT NULL ,DATE_FIRST_DELINQUENCY DATE NULL ,DATE_CLOSED DATE NULL ,DATE_LAST_PAYMENT DATE NULL ,INTEREST_TYPE_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",SURNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRST_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MIDDLE_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",GENERATION_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",SOCIAL_SECURITY_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_OF_BIRTH DATE NOT NULL ,TELEPHONE_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ECOA_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",CONSUMER_INFORMATION_INDICATOR VARCHAR(8000) NULL COLLATE ""en-ci"",COUNTRY_CODE CHAR(8000) NULL COLLATE ""en-ci"",ADDRESS_LINE_1 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ADDRESS_LINE_2 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CITY VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STATE CHAR(8000) NOT NULL COLLATE ""en-ci"",POSTAL_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ADDRESS_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",RESIDENCE_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingBaseSegmentTag,"CREDIT_REPORTING_BASE_SEGMENT_TAG_KEY INT NOT NULL ,CREDIT_REPORTING_BASE_SEGMENT_KEY INT NOT NULL ,TAG_TEXT VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
CreditReportingBaseSegmentTrace,"CREDIT_REPORTING_BASE_SEGMENT_TRACE_KEY INT NOT NULL ,CREDIT_REPORTING_BASE_SEGMENT_KEY INT NOT NULL ,EXECUTION_ORDER INT NOT NULL ,EXECUTION_HASH VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MEMBER_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",LINE_NUMBER INT NOT NULL ,DATE_FIRST_DELINQUENCY DATE NULL ,ACCOUNT_STATUS CHAR(8000) NULL COLLATE ""en-ci"",PAYMENT_RATING CHAR(8000) NULL COLLATE ""en-ci"""
CreditReportingDisputeCode,"CREDIT_REPORTING_DISPUTE_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_MANUAL_PROCESS BOOLEAN NOT NULL ,IS_ACTIVE BOOLEAN NOT NULL "
CreditReportingDisputeResponseCode,"CREDIT_REPORTING_DISPUTE_RESPONSE_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_ACTIVE BOOLEAN NOT NULL "
CreditReportingDisputeSource,"CREDIT_REPORTING_DISPUTE_SOURCE_KEY SMALLINT NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_ACTIVE BOOLEAN NOT NULL "
CreditReportingL1Segment,"CREDIT_REPORTING_L1_SEGMENT_KEY INT NOT NULL ,CREDIT_REPORTING_BASE_SEGMENT_KEY INT NOT NULL ,CHANGE_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",NEW_CONSUMER_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingL1SegmentHistory,"CREDIT_REPORTING_L1_SEGMENT_KEY INT NOT NULL ,CREDIT_REPORTING_BASE_SEGMENT_KEY INT NOT NULL ,CHANGE_INDICATOR CHAR(8000) NOT NULL COLLATE ""en-ci"",NEW_CONSUMER_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingLoanActivity,"CREDIT_REPORTING_LOAN_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_BASE_SEGMENT_KEY INT NULL ,LOAN_KEY INT NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",NOTE VARCHAR(8000) NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingLoanActivityHistory,"CREDIT_REPORTING_LOAN_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_BASE_SEGMENT_KEY INT NULL ,LOAN_KEY INT NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",NOTE VARCHAR(8000) NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingLoanDispute,"CREDIT_REPORTING_LOAN_DISPUTE_KEY INT NOT NULL ,CREDIT_REPORTING_LOAN_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_DISPUTE_CODE_1 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CREDIT_REPORTING_DISPUTE_CODE_2 VARCHAR(8000) NULL COLLATE ""en-ci"",CREDIT_REPORTING_DISPUTE_SOURCE_KEY SMALLINT NOT NULL ,CREDIT_REPORTING_DISPUTE_RESPONSE_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",LOAN_KEY INT NOT NULL ,DATE_RECEIVED DATE NOT NULL ,RESPONSE_DUE_DATE DATE NOT NULL ,RESPONSE_DATE DATE NULL ,RESPONDED_BY CHAR(8000) NULL COLLATE ""en-ci"",RESPONSE_LOAN_ACTIVITY_KEY INT NULL "
CreditReportingLoanDisputeNote,"CREDIT_REPORTING_LOAN_DISPUTE_NOTE_KEY INT NOT NULL ,CREDIT_REPORTING_LOAN_DISPUTE_KEY INT NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",NOTE VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
CreditReportingLoanDisputeRequest,"CREDIT_REPORTING_LOAN_DISPUTE_REQUEST_KEY INT NOT NULL ,CREDIT_REPORTING_LOAN_DISPUTE_KEY INT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,SOURCE_ID INT NOT NULL ,ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CONTROL_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SSN VARCHAR(8000) NULL COLLATE ""en-ci"",DATE_OF_BIRTH DATE NULL ,SURNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DISPUTE_SOURCE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",REQUEST_TYPE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_PROCESSED BOOLEAN NOT NULL "
CreditReportingLoanDisputeResponseDetail,"CREDIT_REPORTING_LOAN_DISPUTE_RESPONSE_DETAIL_KEY INT NOT NULL ,CREDIT_REPORTING_LOAN_DISPUTE_KEY INT NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,SOURCE_ID INT NOT NULL ,ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CONTROL_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",RAW_DATA_TYPE_KEY SMALLINT NULL ,RESPONSE_DATA VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
CreditReportingLoanProductLocation,"CREDIT_REPORTING_LOAN_PRODUCT_LOCATION_KEY INT NOT NULL ,LOAN_PRODUCT_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,START_DATE DATE NULL ,END_DATE DATE NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",FIRST_RUN_COMPLETED BOOLEAN NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingLoanProductLocationHistory,"CREDIT_REPORTING_LOAN_PRODUCT_LOCATION_KEY INT NOT NULL ,LOAN_PRODUCT_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,START_DATE DATE NULL ,END_DATE DATE NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",FIRST_RUN_COMPLETED BOOLEAN NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingLoanStatus,"LOAN_KEY INT NOT NULL ,STATUS_CHANGE_DATE TIMESTAMP_LTZ NOT NULL ,CREDIT_REPORTING_STATUS_KEY INT NOT NULL ,CREDIT_REPORTING_LOAN_ACTIVITY_KEY INT NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingLoanStatusHistory,"LOAN_KEY INT NOT NULL ,STATUS_CHANGE_DATE TIMESTAMP_LTZ NOT NULL ,CREDIT_REPORTING_STATUS_KEY INT NOT NULL ,CREDIT_REPORTING_LOAN_ACTIVITY_KEY INT NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingNaturalDisaster,"CREDIT_REPORTING_NATURAL_DISASTER_KEY smallint NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",START_DATE DATE NOT NULL ,END_DATE DATE NULL ,REPORTING_DAYS smallint NULL "
CreditReportingProcessingQueue,"CREDIT_REPORTING_PROCESSING_QUEUE_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,REPORT_ON_DATE DATE NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,NOTE VARCHAR(8000) NULL COLLATE ""en-ci"",IS_PROCESSED BOOLEAN NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingProcessingQueueHistory,"CREDIT_REPORTING_PROCESSING_QUEUE_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,REPORT_ON_DATE DATE NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,NOTE VARCHAR(8000) NULL COLLATE ""en-ci"",IS_PROCESSED BOOLEAN NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingRarrActivityXRef,"WEB_CALL_RARR_KEY INT NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_NATURAL_DISASTER_KEY smallint NULL "
CreditReportingRule,"CREDIT_REPORTING_RULE_KEY INT NOT NULL ,RULE_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DESCRIPTION VARCHAR(8000) NULL COLLATE ""en-ci"",CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_RULE_TYPE_KEY SMALLINT NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingRuleHistory,"CREDIT_REPORTING_RULE_KEY INT NOT NULL ,RULE_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DESCRIPTION VARCHAR(8000) NULL COLLATE ""en-ci"",CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_RULE_TYPE_KEY SMALLINT NOT NULL ,SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingRuleType,"CREDIT_REPORTING_RULE_TYPE_KEY SMALLINT NOT NULL ,NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
CreditReportingRun,"CREDIT_REPORTING_RUN_KEY INT NOT NULL ,CREDIT_REPORTING_RUN_STATUS_KEY smallint NULL ,JOB_START TIMESTAMP_LTZ NOT NULL ,JOB_END TIMESTAMP_LTZ NULL ,RECORD_COUNT INT NOT NULL ,OUTPUT_FILE_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_MONTHLY_RUN BOOLEAN NOT NULL ,CODE_VERSION VARCHAR(8000) NULL COLLATE ""en-ci"""
CreditReportingRunStatus,"CREDIT_REPORTING_RUN_STATUS_KEY smallint NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
CreditReportingStatus,"CREDIT_REPORTING_STATUS_KEY INT NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_REPORTING_ENABLED BOOLEAN NOT NULL "
CreditReportingTarrActivityXref,"TASK_ACTION_RESULT_KEY INT NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL ,CREDIT_REPORTING_NATURAL_DISASTER_KEY smallint NULL "
CreditReportingTransCodeActivityXRef,"TRANS_CODE_KEY SMALLINT NOT NULL ,CREDIT_REPORTING_ACTIVITY_KEY INT NOT NULL "
CreditReportingVendorConfig,"CREDIT_REPORTING_VENDOR_CONFIG_KEY INT NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",VENDOR_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",VENDOR_CONTACT_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",VENDOR_PHONE VARCHAR(8000) NULL COLLATE ""en-ci"",ACCOUNT_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_URL VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_DESTINATION VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_LOGIN VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_PASSWORD VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_URL VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_DESTINATION VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_LOGIN VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_PASSWORD VARCHAR(8000) NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditReportingVendorConfigHistory,"CREDIT_REPORTING_VENDOR_CONFIG_KEY INT NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",VENDOR_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",VENDOR_CONTACT_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",VENDOR_PHONE VARCHAR(8000) NULL COLLATE ""en-ci"",ACCOUNT_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_URL VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_DESTINATION VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_LOGIN VARCHAR(8000) NULL COLLATE ""en-ci"",TEST_PASSWORD VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_URL VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_DESTINATION VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_LOGIN VARCHAR(8000) NULL COLLATE ""en-ci"",PROD_PASSWORD VARCHAR(8000) NULL COLLATE ""en-ci"",SYS_START_TIME TIMESTAMP_LTZ NOT NULL ,SYS_END_TIME TIMESTAMP_LTZ NOT NULL "
CreditRptPrint,"CRP_key INT NOT NULL ,Credit_Rpt_Key INT NOT NULL ,LineOrder INT NULL ,PrintOrder INT NULL ,ReportLine VARCHAR(8000) NULL COLLATE ""en-ci"""
CreditVendor,"CREDIT_VENDOR_KEY INT NOT NULL ,LAST_DATAX_RUN_TIME datetime NOT NULL ,LAST_CLVERIFY_RUN_TIME datetime NOT NULL ,LAST_VERITEC_MI_RUN_TIME datetime NOT NULL ,LAST_VERITEC_OK_RUN_TIME datetime NOT NULL ,LAST_VERITEC_ND_RUN_TIME datetime NOT NULL ,DATAX_ACTIVE BOOLEAN NOT NULL ,CLVERIFY_ACTIVE BOOLEAN NOT NULL ,VERITEC_MI_ACTIVE BOOLEAN NOT NULL ,VERITEC_OK_ACTIVE BOOLEAN NOT NULL ,VERITEC_ND_ACTIVE BOOLEAN NOT NULL ,GENTRY_ACTIVE BOOLEAN NOT NULL ,LAST_GENTRY_RUN_TIME datetime NOT NULL ,LAST_VERITEC_WA_RUN_TIME datetime NOT NULL ,VERITEC_WA_ACTIVE BOOLEAN NOT NULL ,LAST_FT_DAILY_RUN_TIME datetime NOT NULL ,LAST_VERITEC_WI_RUN_TIME datetime NULL ,VERITEC_WI_ACTIVE BOOLEAN NULL ,LAST_VERITEC_IL_RUN_TIME datetime NULL ,VERITEC_IL_ACTIVE BOOLEAN NULL ,TELETRACKUK_ACTIVE BOOLEAN NULL ,LAST_TELETRACKUK_RUN_TIME datetime NULL ,LAST_CLARITY_RUN_TIME datetime NULL ,CLARITY_ACTIVE BOOLEAN NULL ,IS_DATAX_BM_REPORTING_ACTIVE BOOLEAN NOT NULL ,LAST_VERITEC_AL_RUN_TIME datetime NULL ,VERITEC_AL_ACTIVE BOOLEAN NULL ,TELETRACK_US_IS_ACTIVE BOOLEAN NOT NULL ,LAST_TELETRACK_US_RUN_TIME datetime NOT NULL ,FT_UPLOAD_PASSWORD VARCHAR(8000) NOT NULL COLLATE ""en-ci"",LAST_VERITEC_NV_RUN_TIME datetime NOT NULL ,VERITEC_NV_ACTIVE BOOLEAN NOT NULL ,FT_STORE_ID1_USER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FT_STORE_ID1_PASSWORD VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FT_STORE_ID2_USER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FT_STORE_ID2_PASSWORD VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
CreditVendorApiHistory,"CREDIT_VENDOR_API_HISTORY_KEY INT NOT NULL ,LOAN_KEY INT NULL ,CREDIT_VENDOR_DATA_KEY INT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,CREDIT_VENDOR_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",API_REQUEST_DATA VARCHAR(8000) NULL COLLATE ""en-ci"",API_RESPONSE_DATA VARCHAR(8000) NULL COLLATE ""en-ci"""
CreditVendorData,"CREDIT_VENDOR_DATA_KEY INT NOT NULL ,DATE_ENTERED datetime NOT NULL ,VERITEC_STATUS SMALLINT NOT NULL ,DEF_STATE CHAR(8000) NOT NULL COLLATE ""en-ci"",LOAN_KEY INT NOT NULL ,TRANS_AMOUNT NUMBER(10,4) NOT NULL ,CLVERIFY_PAYMENT_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",CLVERIFY_PAYMENT_NUMBER INT NULL ,CLVERIFY_STATUS SMALLINT NOT NULL ,DATAX_STATUS SMALLINT NOT NULL ,ORIGINAL_LOAN_KEY INT NOT NULL ,IS_SENT_VERITEC BOOLEAN NOT NULL ,IS_SENT_DATAX BOOLEAN NOT NULL ,IS_SENT_CLVERIFY BOOLEAN NOT NULL ,VENDOR_API_RESPONSE_DATA VARCHAR(8000) NULL COLLATE ""en-ci"",IS_SENT_GENTRY BOOLEAN NULL ,DAYS_LATE smallint NULL ,CUSTOMER_KEY INT NULL ,CLARITY_STATUS SMALLINT NULL ,IS_SENT_CLARITY BOOLEAN NULL ,VENDOR_API_REQUEST_DATA VARCHAR(8000) NULL COLLATE ""en-ci"""
CuroHelp,"CUROHELP_KEY INT NOT NULL ,FORM_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CONTROL_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",HELP_TITLE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",HELP_TEXT text NOT NULL COLLATE ""en-ci"",TOOLTIP_TEXT VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
Currency,"CURRENCY_KEY INT NOT NULL ,CURRENCY_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CURRENCY_SYMBOL CHAR(8000) NOT NULL COLLATE ""en-ci"",BILL_DISPLAY VARCHAR(8000) NOT NULL COLLATE ""en-ci"",GROUPED_COIN_DISPLAY VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_ENABLED BOOLEAN NOT NULL ,ACCT INT NOT NULL ,CASH_TRANSIT_ACCT INT NOT NULL ,OPERATING_ACCT INT NOT NULL "
